     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       848,       301,         0,   233.3,bposd_owd_45_X,a305a97ad3d0fc9fb3d6664baa60185f983b08377800e8f1c9162eacace35996,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.005,""pauli"":""X"",""rounds"":16,""window"":3}",
       785,       254,         0,   199.4,bposd_owd_45_Z,7a026b14a72632d7f13fd5517d5aefefb07ac3c86ed8e7e7f816964b229cbf9e,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.005,""pauli"":""Z"",""rounds"":16,""window"":3}",
       400,       253,         0,   153.5,bposd_owd_45_X,321dd8429688e6fa417dec8dcfd2e83a84f1958d15e773580a2e0c536939da78,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.006,""pauli"":""X"",""rounds"":16,""window"":3}",
       437,       250,         0,   156.3,bposd_owd_45_Z,8e2603064fb1ffa7cb1b526d7be051bbbc5f6a2d50c2a547e8cf65a51e0c33d1,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.006,""pauli"":""Z"",""rounds"":16,""window"":3}",
       304,       254,         0,   153.0,bposd_owd_45_X,c61892ae521db3821002992c40baca5273ce92ec777510f4792e17054ebc903d,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.007,""pauli"":""X"",""rounds"":16,""window"":3}",
       323,       264,         0,   155.5,bposd_owd_45_Z,4d107d03b127ed9463eee150b415a6061d8587d9f4ad1fcbe5a248c6b7b46d6d,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.007,""pauli"":""Z"",""rounds"":16,""window"":3}",
  10000000,       115,         0,107178.5,bposd_owd_45_X,6bf6d6f0f0a8a45577155b8b29bcc764a42f0e87853bc22d38de786e7d5e5466,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.0005,""pauli"":""X"",""rounds"":16,""window"":3}",
  10000000,        67,         0,104735.0,bposd_owd_45_Z,9a2c7f7cb7b50fb0b26fa78f1f89430187145978b45d96ff46ea9d8b62ce9db0,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.0005,""pauli"":""Z"",""rounds"":16,""window"":3}",
   3608865,       253,         0, 99748.4,bposd_owd_45_X,06805f58f9438ae585f4511e5d5dc08c5578b9089dc6c9602622c43fcd9d078d,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.0008,""pauli"":""X"",""rounds"":16,""window"":3}",
   7530771,       257,         0,212244.0,bposd_owd_45_Z,8ca91dd41aa2a1762940f32ad305e0b09af1746b9c5cb335023e057c2e9b4bd8,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.0008,""pauli"":""Z"",""rounds"":16,""window"":3}",
   1510405,       253,         0, 76801.9,bposd_owd_45_X,733027e76298ab0f82d48e480db475ea72c10741fb5917e67dd24aa9747f8c45,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
   2853780,       253,         0,141813.7,bposd_owd_45_Z,ff3decd09530914ebd5c198c2214dc07cb1893eb899e96e4d11ae24f976b4d14,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":16,""window"":3}",
    260442,       255,         0, 28974.5,bposd_owd_45_X,971298f352b98020fc11358388ccd7781dc6566f232f77387dbcea39162b0045,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
