     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     68062,       509,         0,   334.2,bposd_owd_45_X,4a15805152f4f77d3102745a5a1239076583ad0d980794a1af0e688c9d238b61,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
     21689,       520,         0,   139.2,bposd_owd_45_X,152cd5f45c1df1152fb24c3d4683f6094b817c2007d24cec991bf68a67e5e286,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
      9856,       531,         0,    81.7,bposd_owd_45_X,e2af2b771d63ce045c9c5b4c43b88d02613a3cbe132d57868258df7699013287,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.002,""pauli"":""X"",""rounds"":16,""window"":3}",
      2400,       516,         0,    28.7,bposd_owd_45_X,3784344d9da111ad657f35a8923d0caac89829c00600958883bede0bccd56685,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.003,""pauli"":""X"",""rounds"":16,""window"":3}",
       998,       510,         0,    16.1,bposd_owd_45_X,af831f0a3dea93589c4b9c9ff2ddda5ce6c3b0baf39eef10ca85565272d988a8,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.004,""pauli"":""X"",""rounds"":16,""window"":3}",
    227100,       505,         0,  1225.6,bposd_owd_45_X,1711539b426ee92d99bfd385efde4fd82fc287866c4cb3b3db50b93dcf8cc5b1,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
     55006,       553,         0,   388.6,bposd_owd_45_X,bffa620b8d2480a342050900b3450e1d0893fff752e9d581bf7cb2668373154e,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
     18482,       547,         0,   173.1,bposd_owd_45_X,e90a5e3fbf1eec8f7e004f91bd95e5128c76c9d3fc6e84f015bbaf82b23e60e7,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.002,""pauli"":""X"",""rounds"":16,""window"":3}",
      4611,       626,         0,    65.0,bposd_owd_45_X,1c913104ccf229eda782099d67df27cc886143ef49d5487a17708a5155fd2479,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.003,""pauli"":""X"",""rounds"":16,""window"":3}",
      1494,       535,         0,    29.9,bposd_owd_45_X,393467403de739256a040dda1b5dccaed1d42f17f3d77bf456de99075022ee6f,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":45,""window"":3},""decodings"":15,""distance"":10,""p"":0.004,""pauli"":""X"",""rounds"":16,""window"":3}",
