     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.038,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
         1,         0,         0,   0.037,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
         1,         0,         0,   0.039,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
         1,         0,         0,   0.038,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
         8,         0,         0,   0.036,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
         8,         0,         0,   0.039,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
         8,         0,         0,   0.043,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
        16,         0,         0,   0.050,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
        64,         0,         0,   0.144,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
        64,         2,         0,   0.161,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
       128,         0,         0,   0.277,bposd_owd_45_Z,e81452920748dd404800f18c6dbc5b4a79dcc37174bfce14b9791e653da346c9,"{""code_name"":""90_8_10"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":13,""num_checks"":45,""window"":1},""decodings"":13,""distance"":10,""p"":0.001,""pauli"":""Z"",""rounds"":12,""window"":1}",
